Tahun,Bulan,Curah_Hujan,Suhu,Produksi
2019,1,141,25.2,6.81
2019,2,317,32.8,7.27
2019,3,245,24.5,8.25
2019,4,275,29.0,7.2
2019,5,251,29.3,7.44
2019,6,243,26.0,7.59
2019,7,200,27.7,7.35
2019,8,307,29.3,7.84
2019,9,149,29.1,5.94
2019,10,200,26.6,6.95
2019,11,238,28.4,7.41
2019,12,256,25.7,8.27
2020,1,279,25.2,8.76
2020,2,228,32.4,6.45
2020,3,146,30.7,5.59
2020,4,251,32.0,6.96
2020,5,303,29.3,8.13
2020,6,90,29.7,4.69
2020,7,286,29.0,7.58
2020,8,204,28.6,6.78
2020,9,250,28.4,7.87
2020,10,316,28.1,8.52
2020,11,157,31.1,5.31
2020,12,213,32.2,6.19
2021,1,316,29.4,8.11
2021,2,274,32.0,6.92
2021,3,243,27.1,7.75
2021,4,293,26.5,8.28
2021,5,124,24.1,7.04
2021,6,124,27.2,6.1
2021,7,195,30.8,6.36
2021,8,295,29.2,7.96
2021,9,219,29.9,6.93
2021,10,316,26.8,8.54
2021,11,216,26.8,7.13
2021,12,121,28.3,6.14
2022,1,301,26.9,8.78
2022,2,185,32.7,5.46
2022,3,213,29.1,7.01
2022,4,198,28.9,6.67
2022,5,157,31.9,5.32
2022,6,128,24.9,6.48
2022,7,99,27.3,5.97
2022,8,242,27.4,8.1
2022,9,132,26.3,6.73
2022,10,167,28.7,6.6
2022,11,255,28.7,6.99
2022,12,255,25.1,8.64
2023,1,306,28.0,8.29
2023,2,108,24.5,6.89
2023,3,138,30.8,5.48
2023,4,175,28.5,6.26
2023,5,157,26.3,6.79
2023,6,126,30.3,5.98
2023,7,209,30.1,6.21
2023,8,278,31.0,7.25
2023,9,215,25.9,7.72
2023,10,90,28.4,5.46
2023,11,106,26.5,5.87
2023,12,262,24.0,8.41
2024,1,180,25.2,7.36
2024,2,241,26.6,7.79
2024,3,252,29.0,7.42
2024,4,103,24.9,6.58
2024,5,148,29.1,5.77
2024,6,246,25.3,8.31
2024,7,295,27.7,8.03
2024,8,311,30.0,8.26
2024,9,319,24.1,9.2
2024,10,266,30.3,7.36
2024,11,168,33.0,5.76
2024,12,131,25.5,7.15
